id,title,vote_average,vote_count,release_date,original_language
1007757,Swapped,8.917,1892,2026-05-01,en
278,The Shawshank Redemption,8.724,30715,1994-09-23,en
936075,Michael,8.706,3355,2026-04-22,en
238,The Godfather,8.687,23128,1972-03-14,en
687163,Project Hail Mary,8.675,5821,2026-03-15,en
240,The Godfather Part II,8.571,14020,1974-12-20,en
424,Schindler's List,8.57,17578,1993-12-15,en
389,12 Angry Men,8.565,10097,1957-04-10,en
1330021,Remarkably Bright Creatures,8.553,703,2026-05-07,en
1383731,Protector,8.544,410,2026-02-20,en
129,Spirited Away,8.535,18499,2001-07-20,ja
155,The Dark Knight,8.532,36039,2008-07-16,en
19404,Dilwale Dulhania Le Jayenge,8.51,4600,1995-10-20,hi
497,The Green Mile,8.506,19401,1999-12-10,en
122,The Lord of the Rings: The Return of the King,8.5,26792,2003-12-17,en
1181678,¿Quieres ser mi hijo?,8.5,355,2023-09-21,en
496243,Parasite,8.492,20833,2019-05-30,ko
680,Pulp Fiction,8.482,30379,1994-09-10,en
372058,Your Name.,8.481,12672,2016-07-01,ja
157336,Interstellar,8.481,40231,2014-11-05,en
429,"The Good, the Bad and the Ugly",8.467,9732,1966-12-23,it
13,Forrest Gump,8.464,29926,1994-06-23,en
1218925,Chainsaw Man - The Movie: Reze Arc,8.46,993,2025-09-19,ja
769,GoodFellas,8.454,14475,1990-09-12,en
346,Seven Samurai,8.4,4267,1954-04-26,ja
12477,Grave of the Fireflies,8.44,6591,1988-04-16,ja
14537,Harakiri,8.4,1228,1962-09-15,ja
637,Life Is Beautiful,8.438,14061,1997-12-20,it
550,Fight Club,8.438,32284,1999-10-15,en
120,The Lord of the Rings: The Fellowship of the Ring,8.437,27797,2001-12-18,en
11216,Cinema Paradiso,8.429,4872,1988-11-17,it
598,City of God,8.428,8251,2002-08-30,pt
121,The Lord of the Rings: The Two Towers,8.422,24083,2002-12-18,en
539,Psycho,8.413,11054,1960-06-22,en
510,One Flew Over the Cuckoo's Nest,8.411,11527,1975-11-19,en
40096,A Dog's Will,8.41,1227,2000-09-15,pt
667257,Impossible Things,8.395,422,2021-06-17,es
378064,A Silent Voice: The Movie,8.392,4546,2016-09-17,ja
324857,Spider-Man: Into the Spider-Verse,8.392,17381,2018-12-06,en
1891,The Empire Strikes Back,8.392,18527,1980-05-20,en
4935,Howl's Moving Castle,8.388,11180,2004-09-09,ja
255709,Hope,8.381,874,2013-10-02,ko
696374,Gabriel's Inferno,8.382,2473,2020-05-29,en
807,Se7en,8.382,23267,1995-09-22,en
